Name,County,State,Acres,Start Date,Contained Date,Notes
Wragg,Napa,CA,"8,051",22-Jul-15,6-Aug-15,
Tassajara,Monterey,CA,"1,086",19-Sep-15,27-Sep-15,1 civilian fatality
Rocky,Lake,CA,"69,438",29-Jul-15,14-Aug-15,
Solimar,Ventura,CA,"1,388",25-Dec-15,29-Dec-15,1 minor ankle injury
Fork Complex,Shasta,CA,"36,503",30-Jul-15,3-Nov-15,
River Complex,Trinity,CA,"77,081",30-Jul-15,29-Oct-15,
Gasquet,Del Norte,CA,"30,361",3-Aug-15,15-Oct-15,"Fires: Feeder (100%), Coon (100%), Bear (100%) and Peak (100% containment)"
Jerusalem,Lake and Napa,CA,"25,118",9-Aug-15,25-Aug-15,
Cabin,Glendora,CA,"1,723",14-Aug-15,20-Nov-15,5 structures destroyed
Cuesta,San Luis Obispo,CA,"2,446",16-Aug-15,28-Aug-15,
Tesla,Alameda,CA,"2,700",19-Aug-15,22-Aug-15,
Round,Inyo,CA,"7,000",6-Feb-15,12-Feb-15,
Highway,Riverside,CA,"1,049",18-Apr-15,24-Apr-15,
Lake,San Bernardino,CA,"31,359",17-Jun-15,1-Aug-15,
Park Hill,San Luis Obispo,CA,"1,791",20-Jun-15,24-Jun-15,
North,San Bernardino,CA,"4,250",17-Jul-15,21-Jul-15,7 houses and 44 vehicles destroyed
Rough,Fresno,CA,"151,623",31-Jul-15,5-Nov-15,
Frog,Lassen,CA,"4,863",30-Jul-15,20-Aug-15,1 firefighter killed
Humboldt Lightning,Humboldt,CA,"4,883",30-Jul-15,19-Aug-15,
Mad River Complex,Humboldt,CA,"73,137",30-Jul-15,13-Sep-15,includes Route Complex Fire
Butte,Amador,CA,"70,868",9-Sep-15,1-Oct-15,2 civilians fatalities; 475 residences & 343 outbuildings destroyed
Dodge,Lassen,CA,"10,570",3-Aug-15,17-Aug-15,
Valley,Lake,CA,"76,067",12-Sep-15,6-Oct-15,"4 civilian fatalities, 1958 structures destroyed"
